Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"2-Methyl-1-phenyl-2-propyl acetate;Dimethylbenzyl Carbinyl Acetate"	"205-781-3"	"151-05-3"	"334"	"Dimethylbenzyl Carbinyl Acetate2-Methyl-1-phenyl-2-propyl acetate"	"151-05-3"	"205-781-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one"	"202-759-5"	"99-49-0"	"333"	"2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one"	"99-49-0"	"202-759-5"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"2-Naphthalenaminium, 8-[(4-amino-3-nitrophenyl)azo]-7-hydroxy-N,N,N-trimethyl-, chloride"	"269-944-0"	"68391-32-2"	"304"	"2-Naphthalenaminium, 8-[(4-amino-3-nitrophenyl)azo]-7-hydroxy-N,N,N-trimethyl-, chloride"	"68391-32-2"	"269-944-0"	"Hair dye substance in non-oxidative hair dye products"	""	"2 %"	""	""	""	""	""	""	
"2-Nitro-N1-phenylbenzene-1,4-diamine"	"220-494-3"	"2784-89-6"	"258"	"2-Nitro-N1-phenylbenzene-1,4-diamine"	"2784-89-6"	"220-494-3"	"Hair dye substance in non-oxidative hair dye products"	""	"1 %"	""	""	""	""	"&#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"2-Pentyl-3-phenylprop-2-en-1-ol"	"202-982-8"	"101-85-9"	"74"	"2-Pentyl-3-phenylprop-2-en-1-ol"	"101-85-9"	"202-982-8"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"2-Pentylcyclopent-2-en-1-one;Amylcyclopentenone"	"247-104-4"	"25564-22-1"	"153"	"Amylcyclopentenone2-Pentylcyclopent-2-en-1-one"	"25564-22-1"	"247-104-4"	"All cosmetic products"	""	"0.1 %"	""	""	""	""	""	""	
"2-Propenal, 3-phenyl-"	"203-213-9"	"104-55-2"	"76"	"2-Propenal, 3-phenyl-"	"104-55-2"	"203-213-9"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"2-Propenoic acid, 3-phenyl-, phenylmethyl ester"	"203-109-3"	"103-41-3"	"81"	"2-Propenoic acid, 3-phenyl-, phenylmethyl ester"	"103-41-3"	"203-109-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"2-Propenyl 3-Cyclohexanepropanoate;Allyl cyclohexylpropionate"	"220-292-5"	"2705-87-5"	"138"	"Allyl cyclohexylpropionate2-Propenyl 3-Cyclohexanepropanoate"	"2705-87-5"	"220-292-5"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl 3-Methylbutanoate;Allyl isovalerate"	"220-609-7"	"2835-39-4"	"141"	"2-Propenyl 3-MethylbutanoateAllyl isovalerate"	"2835-39-4"	"220-609-7"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl 3-Phenyl-2-propenoate;Allyl cinnamate"	"217-477-8"	"1866-31-5"	"136"	"2-Propenyl 3-Phenyl-2-propenoateAllyl cinnamate"	"1866-31-5"	"217-477-8"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl Benzeneacetate;Allyl phenylacetate"	"217-281-2"	"1797-74-6"	"144"	"2-Propenyl BenzeneacetateAllyl phenylacetate"	"1797-74-6"	"217-281-2"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl Butanoate;Allyl butyrate"	"218-129-8"	"2051-78-7"	"135"	"2-Propenyl ButanoateAllyl butyrate"	"2051-78-7"	"218-129-8"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl Cyclohexane acetate;Allyl cyclohexylacetate"	"225-230-0"	"4728-82-9"	"137"	"Allyl cyclohexylacetate2-Propenyl Cyclohexane acetate"	"4728-82-9"	"225-230-0"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl heptanoate;Allyl heptanoate"	"205-527-1"	"142-19-8"	"139"	"2-Propenyl heptanoateAllyl heptanoate"	"142-19-8"	"205-527-1"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2-Propenyl Phenoxyacetate;Allyl phenoxyacetate"	"231-335-2"	"7493-74-5"	"143"	"Allyl phenoxyacetate2-Propenyl Phenoxyacetate"	"7493-74-5"	"231-335-2"	"All cosmetic products"	""	""	""	"Level of free allyl alcohol in the ester shall be less than 0.1 %"	""	""	""	""	
"2H-1-Benzopyran-2-one"	"202-086-7"	"91-64-5"	"77"	"2H-1-Benzopyran-2-one"	"91-64-5"	"202-086-7"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"3,4-Dihydro-2H-1,4-benzoxazin-6-ol"	"247-415-5"	"26021-57-8"	"230"	"3,4-Dihydro-2H-1,4-benzoxazin-6-ol"	"26021-57-8"	"247-415-5"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene;3-Carene;Isodiprene"	"236-719-3"	"13466-78-9"	"121"	"3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene3-CareneIsodiprene"	"13466-78-9"	"236-719-3"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"3,7-Dimethyl-2,6-octadienal"	"226-394-6"	"5392-40-5"	"70"	"3,7-Dimethyl-2,6-octadienal"	"5392-40-5"	"226-394-6"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"3,7-Dimethylocta-1,6-diene-3-yl acetate"	"204-116-4"	"115-95-7"	"337"	"3,7-Dimethylocta-1,6-diene-3-yl acetate"	"115-95-7"	"204-116-4"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"3-(2,2-Dimethyl-3-hydroxypropyl)toluene"	"403-140-4"	"103694-68-4"	"345"	"3-(2,2-Dimethyl-3-hydroxypropyl)toluene"	"103694-68-4"	"403-140-4"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"3-(2-Hydroxyethyl)-p-phenylenediammonium sulphate"	"298-995-1"	"93841-25-9"	"206"	"3-(2-Hydroxyethyl)-p-phenylenediammonium sulphate"	"93841-25-9"	"298-995-1"	"Professional use cosmetic products for coloring eyelashes"	""	"1.75 %"	""	"After mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 1.75 % (calculated as free base)For professional use only"	""	"As free base"	"As from 3 March 2018, to be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"3-(2-Hydroxyethyl)-p-phenylenediammonium sulphate"	"298-995-1"	"93841-25-9"	"206"	"3-(2-Hydroxyethyl)-p-phenylenediammonium sulphate"	"93841-25-9"	"298-995-1"	"Hair dye substance in oxidative hair dye products"	""	"2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 % (calculated as sulphate)"	""	"As sulfate"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-(4-tert-Butylphenyl)propionaldehyde;4-tert-Butyldihydrocinnamaldehyde"	"242-016-2"	"18127-01-0"	"155"	"3-(4-tert-Butylphenyl)propionaldehyde4-tert-Butyldihydrocinnamaldehyde"	"18127-01-0"	"242-016-2"	"All cosmetic products"	""	"0.6 %"	""	""	""	""	""	""	
"3-(N-Hexadecyl-N-2-hydroxyethylammonio)propylbis(2-hydroxyethyl) ammonium difluoride"	"-"	"-"	"37"	"3-(N-Hexadecyl-N-2-hydroxyethylammonio)propylbis(2-hydroxyethyl) ammonium difluoride"	""	""	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains 3-(N-Hexadecyl-N-2-hydroxyethylammonio) propylbis (2-hydroxyethyl) ammonium difluoride. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"3-[(4-amino-3-methyl-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-N,N,N-trimethylpropan-1-aminium, methylsulfate salt"	"605-392-2"	"16517-75-2"	"288"	"3-[(4-amino-3-methyl-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-N,N,N-trimethylpropan-1-aminium, methylsulfate salt"	"16517-75-2"	"605-392-2"	"Hair dye substance in non-oxidative hair dye products"	""	"2 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	""	
"3-[(4-amino-3-methyl-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-N,N,N-trimethylpropan-1-aminium, methylsulfate salt"	"605-392-2"	"16517-75-2"	"288"	"3-[(4-amino-3-methyl-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-N,N,N-trimethylpropan-1-aminium, methylsulfate salt"	"16517-75-2"	"605-392-2"	"Hair dye substance in oxidative hair dye products"	""	"2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Amino-2,4-dichlorophenol"	"262-909-0"	"61693-42-3"	"227"	"3-Amino-2,4-dichlorophenol"	"61693-42-3"	"262-909-0"	"Hair dye substance in oxidative hair dye products"	""	"1.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5 % (as hydrochloride)"	""	"As hydrochloride"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Amino-2,4-dichlorophenol"	"262-909-0"	"61693-42-3"	"227"	"3-Amino-2,4-dichlorophenol"	"61693-42-3"	"262-909-0"	"Hair dye substance in non-oxidative hair dye products"	""	"1.5 %"	""	""	""	"As hydrochloride"	""	""	
"3-Amino-2,4-dichlorophenol HCl"	"612-192-9"	"61693-43-4"	"227"	"3-Amino-2,4-dichlorophenol HCl"	"61693-43-4"	""	"Hair dye substance in oxidative hair dye products"	""	"1.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5 % (as hydrochloride)"	""	"As hydrochloride"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Amino-2,4-dichlorophenol HCl"	"612-192-9"	"61693-43-4"	"227"	"3-Amino-2,4-dichlorophenol HCl"	"61693-43-4"	""	"Hair dye substance in non-oxidative hair dye products"	""	"1.5 %"	""	""	""	"As hydrochloride"	""	""	
"3-Amino-2-chloro-6-methylphenol"	"283-144-9"	"84540-50-1"	"283"	"3-Amino-2-chloro-6-methylphenol"	"84540-50-1"	"283-144-9"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Amino-2-chloro-6-methylphenol"	"283-144-9"	"84540-50-1"	"283"	"3-Amino-2-chloro-6-methylphenol"	"84540-50-1"	"283-144-9"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	""	""	""	""	""	
"3-Amino-4-chloro-6-methylphenol HCl"	"-"	"80419-48-3"	"283"	"3-Amino-4-chloro-6-methylphenol HCl"	"80419-48-3"	""	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Amino-4-chloro-6-methylphenol HCl"	"-"	"80419-48-3"	"283"	"3-Amino-4-chloro-6-methylphenol HCl"	"80419-48-3"	""	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	""	""	""	""	""	
"3-Amino-7-(dimethylamino)-2-methoxyphenoxazin-5-ium chloride"	"267-370-5"	"67846-56-4"	"305"	"3-Amino-7-(dimethylamino)-2-methoxyphenoxazin-5-ium chloride"	"67846-56-4"	"267-370-5"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"As from 3 March 2018: &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Aminophenol sodium"	"-"	"38171-54-9"	"217"	"3-Aminophenol sodium"	"38171-54-9"	""	"Professional use cosmetic products for coloring eyelashes"	""	"1.2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.2 %For professional use only"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"3-Aminophenol sodium"	"-"	"38171-54-9"	"217"	"3-Aminophenol sodium"	"38171-54-9"	""	"Hair dye substance in oxidative hair dye products"	""	"1.2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.2 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Methyl-1-phenyl-5-pyrazolone"	"201-891-0"	"89-25-8"	"228"	"3-Methyl-1-phenyl-5-pyrazolone"	"89-25-8"	"201-891-0"	"Hair dye substance in oxidative hair dye products"	""	"0.25 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.25 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one"	"204-846-3"	"127-51-5"	"90"	"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one"	"127-51-5"	"204-846-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"3-Methyl-5-(2,2,3-trimethyl-3-cyclopentenyl)pent-4-en-2-ol"	"267-140-4"	"67801-20-1"	"339"	"3-Methyl-5-(2,2,3-trimethyl-3-cyclopentenyl)pent-4-en-2-ol"	"67801-20-1"	"267-140-4"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"3-Methylnon-2-enenitrile"	"258-398-9"	"53153-66-5"	"172"	"3-Methylnon-2-enenitrile"	"53153-66-5"	"258-398-9"	"All cosmetic products"	""	"0.2 %"	""	""	""	""	""	""	
"3-Propylidene-1(3H)-isobenzofuranone;3-Propylidenephthalide"	"241-402-8"	"17369-59-4"	"175"	"3-Propylidene-1(3H)-isobenzofuranone3-Propylidenephthalide"	"17369-59-4"	"241-402-8"	"Cosmetic products other than oral products"	""	"0.01 %"	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"3-Propylidene-1(3H)-isobenzofuranone;3-Propylidenephthalide"	"241-402-8"	"17369-59-4"	"175"	"3-Propylidene-1(3H)-isobenzofuranone3-Propylidenephthalide"	"17369-59-4"	"241-402-8"	"Oral products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"3-Pyridinemethanol hydrofluoride"	"700-352-1"	"62756-44-9"	"47"	"3-Pyridinemethanol hydrofluoride"	"62756-44-9"	""	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains nicomethanol hydrofluoride. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"4',5,7-Trihydroxyisoflavone;5,7-Dihydroxy-3-(4-hydroxyphenyl)-4-benzopyrone;Genisteol"	"207-174-9"	"446-72-0"	"373"	"4&#39;,5,7-TrihydroxyisoflavoneGenisteol5,7-Dihydroxy-3-(4-hydroxyphenyl)-4-benzopyrone"	"446-72-0"	"207-174-9"	"All cosmetic products"	""	"0.007 %"	""	""	""	""	""	"From 1 February 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"4',7-Dihydroxyisoflavone;7-Hydroxy-3-(4-hydroxyphenyl)-4-benzopyrone;Daidzeol"	"207-635-4"	"486-66-8"	"374"	"7-Hydroxy-3-(4-hydroxyphenyl)-4-benzopyrone4&#39;,7-DihydroxyisoflavoneDaidzeol"	"486-66-8"	"207-635-4"	"All cosmetic products"	""	"0.02 %"	""	""	""	""	""	"From 1 February 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone"	"201-328-9"	"81-14-1"	"97"	"4&#39;-tert-Butyl-2&#39;,6&#39;-dimethyl-3&#39;,5&#39;-dinitroacetophenone"	"81-14-1"	"201-328-9"	"Eau de toilette"	""	"0.56 %"	""	""	""	""	""	""	
"4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone"	"201-328-9"	"81-14-1"	"97"	"4&#39;-tert-Butyl-2&#39;,6&#39;-dimethyl-3&#39;,5&#39;-dinitroacetophenone"	"81-14-1"	"201-328-9"	"Fine fragrance"	""	"1.4 %"	""	""	""	""	""	""	
"4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone"	"201-328-9"	"81-14-1"	"97"	"4&#39;-tert-Butyl-2&#39;,6&#39;-dimethyl-3&#39;,5&#39;-dinitroacetophenone"	"81-14-1"	"201-328-9"	"Cosmetic products other than fine fragrance, eau de toilette, and oral products"	""	"0.042 %"	""	""	""	""	""	""	
"4,4'-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine"	"279-845-4"	"81892-72-0"	"226"	"4,4&#39;-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine"	"81892-72-0"	"279-845-4"	"Hair dye substance in oxidative hair dye products"	""	"1.2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.2 % calculated as free base (1.8 % as tetrahydrochloride salt)"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"4,4'-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine"	"279-845-4"	"81892-72-0"	"226"	"4,4&#39;-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine"	"81892-72-0"	"279-845-4"	"Hair dye substance in non-oxidative hair dye products"	""	"1.2 %"	""	""	""	"As free base"	"Can cause allergic reaction"	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
