Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"(5R)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-l-one"	"229-352-5"	"6485-40-1"	"333"	"(5R)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-l-one"	"6485-40-1"	"229-352-5"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(5S)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one"	"218-827-2"	"2244-16-8"	"333"	"(5S)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one"	"2244-16-8"	"218-827-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one;Isodamascone;trans-Rose ketone-5"	"254-663-8"	"39872-57-6"	"159"	"(E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-onetrans-Rose ketone-5Isodamascone"	"39872-57-6"	"254-663-8"	"All cosmetic products"	""	"0.02 %"	""	""	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;"	
"(E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"245-842-1"	"23726-91-2"	"157"	"(E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"23726-91-2"	"245-842-1"	"Oral products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"245-842-1"	"23726-91-2"	"157"	"(E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"23726-91-2"	"245-842-1"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(E)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"246-430-4"	"24720-09-0"	"157"	"(E)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"24720-09-0"	"246-430-4"	"Oral products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(E)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"246-430-4"	"24720-09-0"	"157"	"(E)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"24720-09-0"	"246-430-4"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(E)-2-Methoxy-4-(prop-1-enyl)phenol;trans-Isoeugenol"	"227-678-2"	"5932-68-3"	"73"	"trans-Isoeugenol(E)-2-Methoxy-4-(prop-1-enyl)phenol"	"5932-68-3"	"227-678-2"	"Oral products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"(E)-2-Methoxy-4-(prop-1-enyl)phenol;trans-Isoeugenol"	"227-678-2"	"5932-68-3"	"73"	"trans-Isoeugenol(E)-2-Methoxy-4-(prop-1-enyl)phenol"	"5932-68-3"	"227-678-2"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"(E)-3,7-Dimethylocta-2,6-dienal"	"205-476-5"	"141-27-5"	"70"	"(E)-3,7-Dimethylocta-2,6-dienal"	"141-27-5"	"205-476-5"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
