11,Chlorobutanol,CHLOROBUTANOL,57-15-8,200-317-6,0.5%,Not to be used in aerosol,Contains Chlorobutanol,,16/10/2010
,,,,,,dispensers (sprays),,,
12 a,Butyl 4-hydroxy-benzoate and its,BUTYLPARABEN/PROPYLPARABE,94-26-8/ 94-,202-318-7/,"- 0,14% (as acid) for the sum of",Not to be used in leave-on,For leave-on products designed,,02/08/2021
,salts Propyl 4-hydroxy-benzoate,N/SODIUM,13-3/ 35285-,202-307-7/,the individual concentrations,products designed for application,for children under three years of,,
,and its salts,PROPOYLPARABEN/SODIUM,69-9/ 36457-,252-488-1/,,on the nappy area of children,"age: ""Do not use on the nappy",,
,,BUTYLPARABEN/POTASSIUM,20-2/ 38566-,253-049-7/,"- 0,8% (as acid) for mixtures of",under three years of age.,"area""",,
,,BUTYLPARABEN/POTASSIUM,94-8/ 84930-,254-009-1/,substances mentioned in entry 12,,,,
,,PROPYLPARABEN,16-5,284-597-5,"and 12a, here the sum of the",,,,
,,,,,individual concentrations of butyl,,,,
,,,,,and propylparaben and their salts,,,,
,,,,,"does not exceed 0,14%",,,,
12,4-Hydroxybenzoic acid and its,4-HYDROXYBENZOIC ACID /,99-96-7 /99-,202-804-9,"0,4% (as acid) for single ester",,,,11/08/2020
,"Methyl- and Ethyl-esters, and",METHYLPARABEN /POTASSIUM,76-3 /36457-,/202-785-7,"0,8% (as acid) for mixtures of",,,,
,their salts,ETHYLPARABEN /POTASSIUM,19-9 /16782-,/253-048-1,esters,,,,
,,PARABEN /SODIUM,08-4 /5026-,/240-830-2,,,,,
,,METHYLPARABEN /SODIUM,62-0 /35285-,/225-714-1,,,,,
,,ETHYLPARABEN /ETHYLPARABEN,68-8 /120-47-,/252-487-6,,,,,
,,/SODIUM PARABEN / POTASSIUM,8 /114-63-6,/204-399-4,,,,,
,,METHYLPARABEN / CALCIUM,/26112-0-2,/204-051-1,,,,,
,,PARABEN,/69959-44-0,/247-464-2,,,,,
,,,,/274-235-4,,,,,
13,"3-Acetyl-6-methylpyran-2,4(3H)-",Dehydroacetic acid / SODIUM,520-45-6 /,208-293-9 /,0.6% (as acid),Not to be used in aerosol,,,16/10/2010
,dione and its salts,DEHYDROACETATE,4418-26-2 /,224-580-1 / -,,dispensers (sprays),,,
,,,16807-48-0,,,,,,
14,Formic acid and its sodium salt,FORMIC ACID / SODIUM,64-18-6 /,200-579-1 /,0.5% (as acid),,,,16/10/2010
,,FORMATE,141-53-7,205-488-0,,,,,
15,"3,3'-Dibromo-4,4'-",Dibromohexamidine isethionate,93856-83-8,299-116-4,0.1%,,,,16/10/2010
,hexamethylenedioxydibenzamidi,,,,,,,,
,ne and its salts (including,,,,,,,,
,isethionate),,,,,,,,
,,Substance identification,,,,Conditions,,,
Reference,,Name of Common Ingredients,,,,Maximum concentration in,,Wording of conditions of use,
Number,Chemical name / INN,Glossary,CAS Number,EC Number,"Product Type, body parts",ready for use preparation,Other,and warnings,Update date
16,Thiomersal,THIMEROSAL,54-64-8,200-210-4,0.007% (of Hg),,Contains Thiomersal,,16/10/2010
,,,,,If mixed with other mercurial,,,,
,,,,,compounds authorized by this,,,,
,,,,,"Regulation, the maximum",,,,
,,,,,concentration of Hg remains fixed,,,,
,,,,,at 0.007%,,,,
17,Phenylmercuric salts (including,PHENYL MERCURIC ACETATE /,62-38-4 / 94-,200-532-5 /,0.007% (of Hg),,Contains Phenylmercuric,,16/10/2010
